transaction_id,transaction_amount,transaction_date,card_number,card_type,card_expiry_date,cvv,billing_address,billing_city,billing_state,billing_postal_code,shipping_address,shipping_city,shipping_state,shipping_postal_code,ip_address,user_agent,is_fraudulent,reason_for_fraud,merchant_name,merchant_category,merchant_location,transaction_status,refund_amount,refund_date,chargeback_reason
1,2059.54,1/15/2021,4936780602115105,switch,10/10/2025,130,1 Burning Wood Terrace,Lodoyo,,,5217 Ridgeview Alley,Calubcub Dos,,0906,160.223.245.184,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7",true,stolen_card,Tavu,clothing,Daxindian,pending,739.66,12/12/2021,unauthorized_charge
2,4643.15,3/22/2021,4508536921630663,visa-electron,10/10/2025,505,89108 Fremont Terrace,Uvira,,,32868 3rd Parkway,Le Cannet,B8,06116 CEDEX,130.77.246.181,"Mozilla/5.0 (iPhone; U; fr; CPU iPhone OS 4_2_1 like Mac OS X; fr) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148a Safari/6533.18.5",false,identity_theft,Jaxbean,food,Vân Đình,refunded,167.06,7/8/2021,fraudulent_transaction
3,2314.06,5/18/2021,5108752211455163,mastercard,8/21/2025,974,6726 Raven Court,Pervoavgustovskiy,,307513,41 Longview Alley,Liangchahe,,,253.75.181.38,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.20 Safari/535.1",false,identity_theft,Topicshots,food,Cibiru,completed,20.9,6/26/2021,product_not_received
4,5957.66,10/30/2021,30569358832853,diners-club-carte-blanche,9/28/2022,198,5046 Hanover Trail,Waipawa,,5782,981 Bultman Plaza,Roche-à-Bateau,,,195.247.215.200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11",true,stolen_card,Browsezoom,electronics,Strachówka,pending,559.58,4/30/2021,fraudulent_transaction
5,5991.68,10/25/2021,374283802842823,americanexpress,3/3/2024,902,2164 International Center,General Pico,,6360,63833 Grover Lane,Fier,,,17.128.234.98,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1467.0 Safari/537.36",true,identity_theft,Trudoo,food,San Miguel Dueñas,refunded,892.18,7/30/2021,unauthorized_charge
6,6382.49,12/4/2021,63040456932676988,maestro,8/14/2023,316,43132 Oriole Center,Prabuty,,82-550,595 Ohio Trail,Jumpangdua,,,230.4.72.27,"Mozilla/5.0 (X11; FreeBSD amd64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.65 Safari/535.11",false,unauthorized_access,Pixonyx,food,Sukawening,completed,325.38,2/25/2021,fraudulent_transaction
7,7993.2,9/6/2021,675903484855136928,switch,4/17/2024,227,2 Hauk Point,Hanau,HE,63456,06722 Huxley Lane,Älvsjö,AB,125 71,26.23.222.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/535.22 (KHTML, like Gecko) Chrome/19.0.1047.0 Safari/535.22",false,identity_theft,Divavu,electronics,Bojongbenteng,completed,667.51,1/14/2021,unauthorized_charge
8,730.64,4/28/2021,56022559090677742,china-unionpay,4/17/2024,726,8799 Fuller Place,Qixian,,,73062 Prairie Rose Trail,Hurghada,,,114.28.96.3,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",true,stolen_card,Mycat,electronics,Mohale’s Hoek,refunded,458.68,8/4/2021,unauthorized_charge
9,6284.24,4/21/2021,3580493681870894,jcb,3/7/2025,394,9292 Hallows Way,Chinhoyi,,,8328 Iowa Park,Jermuk,,,200.136.54.42,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.809.0 Safari/535.1",true,identity_theft,Meetz,electronics,Woerden,refunded,871.34,2/4/2021,unauthorized_charge
10,1662.6,9/4/2021,3528674899736465,jcb,11/28/2024,331,992 4th Drive,Cela,10,2440-153,89555 Mendota Center,Chongjin,,,210.113.144.212,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0) Gecko/20100101 Firefox/14.0.1,false,identity_theft,Youfeed,food,Macas,refunded,247.74,5/24/2021,product_not_received
